Measurement Start time (24hr time),Pressure (bar),Time (mins),Flux 0 (LMH),Flux 1 (LMH),Flux 2 (LMH)
14:58:00,3.102642,0,5725.993524,5521.262645,5820.003795
14:59:00,3.102642,1,5725.64251,5522.964098,5812.905317
15:00:00,3.102642,2,5725.876509,5532.420071,5826.758277
15:01:00,3.102642,3,5699.721646,5504.587163,5811.779514
15:02:00,3.102642,4,5735.735806,5522.064746,5851.775149
15:03:00,3.102642,5,5712.652769,5536.819789,5830.35454
15:04:00,3.102642,6,5689.423471,5486.599051,5792.95434
15:05:00,3.102642,7,5720.815269,5513.87296,5818.346401
15:06:00,3.102642,8,5702.29626,5510.931567,5804.430854
15:07:00,3.102642,9,5673.478951,5486.623429,5788.513884
15:08:00,3.102642,10,5667.539957,5474.542246,5758.212228
15:12:00,3.102642,14,5660.84035,5473.375492,5769.000784
15:13:00,3.102642,15,5623.18779,5459.179499,5754.178322
15:14:00,3.102642,16,5654.491787,5422.231023,5709.961153
15:15:00,3.102642,17,5607.389531,5444.084128,5729.036409
15:16:00,3.102642,18,5594.048839,5419.873163,5713.338428
15:17:00,3.102642,19,5596.623265,5432.173044,5711.806142
15:18:00,3.102642,20,5582.521896,5422.644354,5703.800682
15:19:00,3.102642,21,5579.888916,5380.202174,5695.576469
15:20:00,3.102642,22,5566.811406,5428.016375,5678.28358
15:21:00,3.102642,23,5586.412985,5415.133066,5706.27121
15:22:00,3.102642,24,5580.035146,5403.61096,5695.638956
15:26:00,3.102642,28,5503.647582,5368.996122,5648.95136
15:27:00,3.102642,29,5535.068595,5362.457242,5633.253311
15:28:00,3.102642,30,5526.116266,5373.420244,5641.446332
15:29:00,3.102642,31,5481.99813,5313.451935,5612.770776
15:30:00,3.102642,32,5489.516905,5320.598518,5620.651094
15:31:00,3.102642,33,5498.235298,5329.106461,5616.148185
15:32:00,3.102642,34,5482.758743,5339.145681,5594.008156
15:33:00,3.102642,35,5476.527353,5317.535704,5605.609778
15:34:00,3.102642,36,5481.091161,5318.508138,5572.681395
15:35:00,3.102642,37,5475.444846,5306.280974,5586.972198
15:40:00,3.102642,42,5438.874794,5326.797123,5581.187084
15:41:00,3.102642,43,5471.963294,5301.954207,5577.80981
15:42:00,3.102642,44,5466.433869,5314.764566,5583.782653
15:43:00,3.102642,45,5452.478793,5290.091801,5565.52033
15:44:00,3.102642,46,5429.600572,5300.787401,5564.394527
15:45:00,3.102642,47,5431.999554,5276.600788,5532.279277
15:46:00,3.102642,48,5398.121037,5268.724952,5536.938622
15:47:00,3.102642,49,5413.480482,5261.019109,5527.557278
15:48:00,3.102642,50,5383.317484,5231.8737,5515.142757
15:49:00,3.102642,51,5394.347026,5240.381592,5496.067434
15:50:00,3.102642,52,5386.272358,5245.802317,5500.820592
15:54:00,3.102642,56,5355.612085,5178.128322,5478.524464
15:55:00,3.102642,57,5345.109095,5203.870642,5462.419764
15:56:00,3.102642,58,5278.288307,5190.185205,5457.572859
15:57:00,3.102642,59,5343.178079,5199.397972,5472.676628
15:58:00,3.102642,60,5314.068468,5190.209531,5416.889265
15:59:00,3.102642,61,5324.980964,5178.760324,5398.439347
16:00:00,3.102642,62,5306.929921,5157.296198,5427.990389
16:01:00,3.102642,63,5273.431789,5164.224031,5435.620592
16:02:00,3.102642,64,5317.637663,5156.83432,5425.738951
16:03:00,3.102642,65,5296.309978,5149.833614,5418.014967
16:04:00,3.102642,66,5269.80407,5188.386422,5391.966241
16:05:00,3.102642,67,5281.652718,5178.274147,5396.813247
16:10:00,3.102642,72,5239.699564,5126.400502,5385.336733
16:11:00,3.102642,73,5275.245601,5138.262909,5378.644838
16:12:00,3.102642,74,5260.910203,5137.800978,5383.992075
16:13:00,3.102642,75,5250.524353,5130.435776,5392.654233
16:14:00,3.102642,76,5253.274317,5136.220972,5346.091678
16:15:00,3.102642,77,5237.944212,5120.007473,5373.20362
16:16:00,3.102642,78,5246.720908,5114.319319,5370.701933
16:17:00,3.102642,79,5206.347662,5100.804007,5354.97259
16:18:00,3.102642,80,5214.334624,5093.195546,5351.595383
16:19:00,3.102642,81,5208.161506,5080.822662,5344.809574
16:20:00,3.102642,82,5175.33625,5075.596439,5308.066073
16:21:00,3.102642,83,5193.299461,5137.533655,5311.036965
16:25:00,3.102642,87,5163.604586,5062.397075,5290.64811
16:26:00,3.102642,88,5213.398283,5075.936713,5305.064122
16:27:00,3.102642,89,5182.855057,5083.885528,5343.621285
16:28:00,3.102642,90,5225.80298,5088.382523,5334.95916
16:29:00,3.102642,91,5178.291124,5081.357491,5388.182416
16:30:00,3.102642,92,5191.368602,5069.981236,5263.880231
16:31:00,3.102642,93,5195.756872,5064.414686,5306.252344
16:32:00,3.102642,94,5165.652585,5051.118046,5303.375535
16:33:00,3.102642,95,5151.258475,5045.357123,5299.372755
16:34:00,3.102642,96,5133.353819,5041.613473,5287.02062
16:35:00,3.102642,97,5144.705097,5046.523851,5269.03994
16:36:00,3.102642,98,5135.28474,5032.255011,5223.384266
16:40:00,3.102642,102,5037.07206,4980.138265,5211.438681
16:41:00,3.102642,103,5075.982696,4964.775414,5198.836464
16:42:00,3.102642,104,5083.267568,4955.659872,5214.409405
16:43:00,3.102642,105,5046.69739,4939.616497,5196.272324
16:44:00,3.102642,106,5045.614946,4951.187098,5182.731866
