Measurement Start time (24hr time),Pressure (bar),Time (mins),Flux 0 (LMH),Flux 1 (LMH),Flux 2 (LMH),Average Flux (LMH),Standard Deviation (LMH),Standard Error (%)
15:31:00,2.068428,0,3981.643329,3837.555702,4027.710807,3948.969946,80.99548709,2.05105352
15:32:00,2.068428,1,3939.801675,3828.371058,4011.75817,3926.643634,75.44339472,1.921320134
15:33:00,2.068428,2,3946.545533,3822.572778,4006.869104,3925.329138,76.71977333,1.95448001
15:34:00,2.068428,3,3937.485204,3805.470319,3987.56301,3910.172844,76.80673034,1.964279672
15:35:00,2.068428,4,3935.139642,3821.452152,4005.208007,3920.599933,75.71924412,1.931317793
15:36:00,2.068428,5,3953.084148,3810.196654,4003.640967,3922.307256,81.91698372,2.088489717
15:37:00,2.068428,6,3928.776831,3806.371707,3986.278008,3907.142182,75.02272004,1.920143075
15:38:00,2.068428,7,3904.674631,3778.208661,3958.635434,3880.506242,75.61542341,1.948596876
15:39:00,2.068428,8,3860.223362,3733.722747,3918.331122,3837.425744,77.07079666,2.008398385
15:40:00,2.068428,9,3862.275811,3742.931772,3942.3381,3849.181894,81.9321219,2.128559371
15:41:00,2.068428,10,3859.226338,3737.182253,3917.704252,3838.037614,75.20536148,1.959474321
15:42:00,2.068428,11,3858.933194,3733.942012,3925.476825,3839.450677,79.39803709,2.067953043
15:43:00,2.068428,12,3854.916166,3738.985002,3913.880643,3835.92727,72.65239112,1.893998139
15:44:00,2.068428,13,3831.400285,3724.270156,3896.549148,3817.40653,71.02526159,1.860563213
15:45:00,2.068428,14,3812.106894,3717.692285,3873.638957,3801.146045,64.13499448,1.687254152
15:46:00,2.068428,15,3784.720636,3705.730258,3860.977285,3783.809393,63.38260865,1.675100463
15:47:00,2.068428,16,3802.020325,3718.764177,3867.527515,3796.104006,60.87629426,1.603651906
15:49:00,2.068428,18,3788.180561,3659.3441,3830.952721,3759.492461,72.93666218,1.940066723
15:50:00,2.068428,19,3715.199643,3602.506364,3790.836288,3702.847432,77.37989809,2.089740383
15:51:00,2.068428,20,3743.670733,3642.119792,3776.074899,3720.621808,57.06389604,1.533719335
15:52:00,2.068428,21,3738.422128,3631.692646,3832.300283,3734.138352,81.95372264,2.194715753
15:53:00,2.068428,22,3729.215212,3614.565807,3771.655817,3705.145612,66.35172466,1.79079938
15:54:00,2.068428,23,3754.783448,3636.63822,3825.123284,3738.848317,77.76932165,2.080034146
15:55:00,2.068428,24,3744.081216,3637.710139,3809.703526,3730.498294,70.86984874,1.899742157
15:56:00,2.068428,25,3733.613444,3620.656466,3790.711035,3714.993648,70.66192623,1.902073945
15:57:00,2.068428,26,3714.23193,3607.110876,3766.390421,3695.911076,66.30351238,1.793969363
15:58:00,2.068428,27,3700.157708,3578.826034,3749.184313,3676.056018,71.60611916,1.947906093
15:59:00,2.068428,28,3682.271604,3576.779613,3755.233162,3671.428126,73.25573056,1.995292514
16:00:00,2.068428,29,3670.86565,3559.701508,3731.194653,3653.920604,71.02969171,1.943930901
16:01:00,2.068428,30,3661.306842,3550.930908,3714.677974,3642.305241,68.18636715,1.87206625
16:02:00,2.068428,31,3642.687673,3540.114045,3713.487063,3632.09626,71.17436023,1.959594546
16:03:00,2.068428,32,3609.613141,3519.893194,3694.901963,3608.1361,71.45466415,1.980376077
16:04:00,2.068428,33,3647.027314,3536.77631,3702.549148,3628.784258,68.89492147,1.89856758
16:05:00,2.068428,34,3638.670676,3528.688017,3692.833307,3620.064,68.29141159,1.886469731
16:06:00,2.068428,35,3623.482216,3523.352674,3676.630231,3607.821707,63.54757317,1.761383415
16:07:00,2.068428,36,3618.761403,3513.144688,3674.906407,3602.270833,67.06050797,1.861617604
16:10:00,2.068428,39,3587.328774,3479.938652,3632.56497,3566.610799,64.00845813,1.794657779
16:11:00,2.068428,40,3564.692829,3466.685468,3623.099903,3551.492733,64.5344908,1.817108907
16:12:00,2.068428,41,3564.458181,3460.473013,3616.267669,3547.066288,64.78092417,1.826324036
16:13:00,2.068428,42,3561.40874,3457.232851,3613.509617,3544.050402,64.96968948,1.833204444
16:14:00,2.068428,43,3549.944132,3444.466852,3604.326756,3532.91258,66.36441081,1.878461731
16:15:00,2.068428,44,3539.798878,3439.594393,3578.877991,3519.423754,58.65912513,1.666725272
16:16:00,2.068428,45,3537.453158,3422.540589,3588.154842,3516.04953,69.28495104,1.970533988
16:17:00,2.068428,46,3522.235324,3423.490816,3575.994586,3507.240242,63.15583519,1.800727376
16:18:00,2.068428,47,3508.835449,3414.890774,3561.953921,3495.226715,60.80455344,1.739645477
16:19:00,2.068428,48,3521.179709,3413.550856,3568.974169,3501.234912,64.99973226,1.856480182
16:20:00,2.068428,49,3517.338675,3395.108453,3579.28545,3497.244192,76.52072791,2.188029308
16:21:00,2.068428,50,3516.136504,3411.309577,3494.947105,3474.131062,45.25595276,1.30265531
16:22:00,2.068428,51,3477.930674,3391.990035,3549.981611,3473.300774,64.58282285,1.859407724
16:23:00,2.068428,52,3492.562094,3390.674471,3543.118047,3475.451538,63.39999634,1.824223289
16:24:00,2.068428,53,3476.875028,3383.195213,3522.401664,3460.823968,57.95306398,1.674545268
16:25:00,2.068428,54,3471.773231,3368.50459,3518.891557,3453.056459,62.80551015,1.818838206
16:26:00,2.068428,55,3462.126426,3361.731886,3513.782979,3445.880431,63.1286147,1.832002473
16:27:00,2.068428,56,3451.600031,3352.985693,3496.200676,3433.595467,59.83731306,1.742701307
16:28:00,2.068428,57,3442.217184,3341.559665,3489.901288,3424.559379,61.83395954,1.80560337
16:29:00,2.068428,58,3436.58747,3337.101434,3484.886633,3419.525179,61.52754164,1.799300734
16:30:00,2.068428,59,3428.34814,3377.396881,3476.487359,3427.410793,40.4589478,1.180452249
16:31:00,2.068428,60,3415.094853,3347.845261,3468.025324,3410.321813,49.17925252,1.442070726
