Measurement Start time (24hr time),Pressure (bar),Time (mins),Flux 0 (LMH),Flux 1 (LMH),Flux 2 (LMH)
15:02:00,2.068428,0,2736.157395,2812.430707,2688.546211
15:03:00,2.068428,1,2752.372159,2821.347325,2696.757539
15:04:00,2.068428,2,2757.063629,2825.976296,2706.535872
15:05:00,2.068428,3,2752.137637,2813.332068,2696.130736
15:06:00,2.068428,4,2745.217787,2810.311171,2684.503225
15:07:00,2.068428,5,2725.10324,2798.056791,2678.893198
15:08:00,2.068428,6,2741.317972,2793.963897,2680.930323
15:09:00,2.068428,7,2713.403985,2790.553204,2628.559845
15:10:00,2.068428,8,2737.946043,2780.540156,2673.377195
15:11:00,2.068428,9,2741.493965,2775.789545,2652.848927
15:12:00,2.068428,10,2671.03454,2766.263761,2644.480916
15:13:00,2.068428,11,2745.159164,2764.704552,2647.458312
15:14:00,2.068428,12,2693.289533,2748.674064,2629.719392
15:15:00,2.068428,13,2693.817293,2746.335211,2634.953324
15:16:00,2.068428,14,2664.730478,2733.398787,2627.400095
15:17:00,2.068428,15,2680.622691,2745.677416,2599.224642
15:18:00,2.068428,16,2656.725764,2731.571631,2614.42509
15:19:00,2.068428,17,2648.369126,2694.711074,2575.12354
15:20:00,2.068428,18,2663.00042,2718.001635,2594.335509
15:21:00,2.068428,19,2640.774928,2711.496878,2587.534538
15:22:00,2.068428,20,2644.205416,2711.691815,2579.856057
15:23:00,2.068428,21,2645.231719,2701.849298,2571.519409
15:24:00,2.068428,22,2638.663761,2698.901489,2571.488012
15:25:00,2.068428,23,2627.492266,2688.401202,2570.516343
15:26:00,2.068428,24,2626.20213,2687.719158,2556.225073
15:28:00,2.068428,26,2594.652287,2641.893196,2526.043792
15:29:00,2.068428,27,2602.30514,2671.05515,2547.167498
15:30:00,2.068428,28,2598.698658,2669.495968,2539.865044
15:31:00,2.068428,29,2590.312709,2657.412092,2532.907356
15:32:00,2.068428,30,2600.106071,2595.019826,2514.259529
15:33:00,2.068428,31,2577.264695,2653.31925,2526.67056
15:34:00,2.068428,32,2579.903559,2648.934003,2515.387847
15:35:00,2.068428,33,2566.034609,2643.086937,2515.356483
15:36:00,2.068428,34,2567.060818,2632.538073,2507.113759
15:37:00,2.068428,35,2564.539137,2633.707434,2498.11908
15:38:00,2.068428,36,2555.215007,2626.934678,2504.794596
15:39:00,2.068428,37,2550.904709,2618.651369,2487.243724
15:40:00,2.068428,38,2490.825154,2615.703561,2456.466971
15:41:00,2.068428,39,2533.517054,2607.249773,2483.576866
15:42:00,2.068428,40,2556.358556,2606.957394,2473.735839
15:43:00,2.068428,41,2514.428811,2592.656645,2459.632313
15:44:00,2.068428,42,2526.333402,2596.408452,2443.554591
15:45:00,2.068428,43,2513.783806,2559.547999,2411.837499
15:46:00,2.068428,44,2531.024778,2589.099671,2466.057324
15:47:00,2.068428,45,2520.674314,2601.183521,2465.994597
15:48:00,2.068428,46,2521.436753,2585.274777,2471.792637
15:49:00,2.068428,47,2517.067769,2584.324681,2455.119308
15:50:00,2.068428,48,2506.600028,2580.524114,2452.23597
15:51:00,2.068428,49,2494.490321,2568.026141,2455.934192
15:52:00,2.068428,50,2502.348415,2565.346253,2432.02107
15:53:00,2.068428,51,2498.800587,2555.966698,2430.203255
15:54:00,2.068428,52,2485.429961,2548.633589,2420.707026
15:55:00,2.068428,53,2476.516315,2551.069832,2399.583286
15:56:00,2.068428,54,2471.88353,2538.279532,2414.658279
15:57:00,2.068428,55,2470.857195,2532.213358,2471.73001
15:58:00,2.068428,56,2453.117773,2527.901068,2398.235556
16:00:00,2.068428,58,2466.019231,2466.093456,2374.134589
16:01:00,2.068428,59,2450.948047,2516.280233,2377.89537
16:02:00,2.068428,60,2442.884585,2515.208236,2385.855956
