Measurement Start time (24hr time),Pressure (bar),Time (mins),Flux 0 (LMH),Flux 1 (LMH),Flux 2 (LMH)
12:50:00,4.136856,0,6594.800647,6916.787038,6168.216903
12:51:00,4.136856,1,1807.224054,-7325.17254,6116.484207
12:52:00,4.136856,2,-3391.048928,6775.491695,-9523.095813
12:53:00,4.136856,3,6480.799572,6778.351943,6052.336991
12:54:00,4.136856,4,-9223.583254,-15680.30697,-6452.783079
12:55:00,4.136856,5,6404.675335,6711.318102,5965.820504
12:56:00,4.136856,6,-10628.77069,6700.654936,-4774.572271
12:57:00,4.136856,7,7975.578782,-11468.07224,5921.895175
12:58:00,4.136856,8,6289.894129,6589.696169,5876.7294
12:59:00,4.136856,9,-8950.146502,-7023.232549,-15373.3491
13:00:00,4.136856,10,6211.702449,6497.130614,5801.960427
13:01:00,4.136856,11,-8666.928453,-11371.78752,-975.7284451
13:02:00,4.136856,12,6133.510802,6433.7673,5742.701852
13:03:00,4.136856,13,6087.091211,6375.97056,5695.649443
13:04:00,4.136856,14,-10678.02814,-8890.6517,-17167.98187
13:05:00,4.136856,15,6000.941912,6310.938096,5623.757357
13:06:00,4.136856,16,-6852.146617,6271.129364,-1876.031199
13:07:00,4.136856,17,4284.723665,-13266.38321,5550.155844
13:08:00,4.136856,18,5869.591987,6177.226897,5497.45375
13:09:00,4.136856,19,-8278.720189,-5929.445527,-15311.26571
13:10:00,4.136856,20,5794.111384,6087.610741,5406.225796
13:11:00,4.136856,21,2731.822413,2864.95391,2549.37939
13:12:00,4.136856,22,562.2914823,585.0249447,546.242013
13:13:00,4.136856,23,270.3648845,279.1875433,259.2366462
13:14:00,4.136856,24,149.313124,153.7897424,141.1364905
13:15:00,4.136856,25,90.80102402,88.87070268,85.46367971
13:16:00,4.136856,26,54.74780596,55.34972836,50.53390722
13:17:00,4.136856,27,37.6720249,36.25969507,33.25151704
13:18:00,4.136856,28,23.72666719,21.87738012,21.08709943
13:19:00,4.136856,29,14.21844637,12.23508877,9.433409505
13:20:00,4.136856,30,12.11198561,8.410632094,9.537657585
13:21:00,4.136856,31,1939.032301,2030.826821,1849.346614
13:22:00,4.136856,32,5667.130398,5942.968974,5315.748331
13:23:00,4.136856,33,-17114.45605,-14416.06288,-16000.56211
13:24:00,4.136856,34,5649.14767,5924.52717,5289.918506
13:25:00,4.136856,35,5615.054652,5887.805597,5251.924226
13:26:00,4.136856,36,5575.675987,5851.359559,5212.335109
13:27:00,4.136856,37,-18430.85138,-25061.73268,-15535.19738
13:28:00,4.136856,38,5502.925922,5785.66263,5144.237279
